rlwrap ../../../tools/serial-io/serialdump -b115200 /dev/ttyUSB0
[INFO: Main      ] Starting Contiki-NG-develop/v4.6-dirty
[INFO: Main      ] - Routing: RPL Lite
[INFO: Main      ] - Net: sicslowpan
[INFO: Main      ] - MAC: TSCH
[INFO: Main      ] - 802.15.4 PANID: 0xabcd
[INFO: Main      ] - 802.15.4 TSCH default hopping sequence length: 4
[INFO: Main      ] Node ID: 57705
[INFO: Main      ] Link-layer address: 0012.4b00.1932.e169
[INFO: Main      ] Tentative link-local IPv6 address: fe80::212:4b00:1932:e169
[INFO: Zoul      ] Zolertia RE-Mote revision B platform
sec;CPU;LPM;Deep;Tx;Rx
19;0;284;76;0;0;
39;0;601;161;0;0;
59;0;917;246;0;99;
79;0;1234;332;0;99;
99;0;1550;417;0;99;
119;0;1867;502;0;198;
139;0;2183;587;0;198;
159;0;2500;672;0;198;
179;0;2816;757;0;298;
199;0;3133;842;0;298;
219;0;3449;928;0;298;
239;50;3734;1013;0;397;
259;50;4050;1098;0;397;
279;50;4367;1183;0;397;
299;50;4683;1268;0;497;
319;50;5000;1353;0;497;
339;50;5316;1438;0;497;
359;50;5633;1524;0;596;
379;50;5949;1609;0;596;
399;50;6266;1694;0;696;
419;50;6582;1779;0;696;
439;50;6899;1864;0;696;
459;101;7183;1949;0;795;
479;101;7500;2034;0;795;
499;101;7816;2119;0;795;
519;101;8133;2205;0;895;
539;101;8449;2290;0;895;
559;101;8766;2375;0;895;
579;101;9082;2460;0;994;
599;101;9399;2545;0;994;
619;101;9715;2630;0;994;
639;101;10032;2715;0;1094;
659;101;10348;2801;0;1094;
679;101;10665;2886;0;1094;
699;151;10949;2971;0;1193;
719;151;11266;3056;0;1193;
739;151;11582;3141;0;1193;
759;151;11899;3226;0;1293;
779;151;12215;3311;0;1293;
799;151;12532;3397;0;1392;
819;151;12848;3482;0;1392;
839;151;13165;3567;0;1392;
859;151;13481;3652;0;1491;
879;151;13798;3737;0;1491;
899;151;14114;3822;0;1491;
919;151;14431;3907;0;1591;
939;202;14715;3993;0;1591;
959;202;15032;4078;0;1591;
979;202;15348;4163;0;1690;
999;202;15665;4248;0;1690;
1019;202;15981;4333;0;1690;
1039;202;16298;4418;0;1790;
1059;202;16614;4503;0;1790;
1079;202;16931;4589;0;1790;
1099;202;17247;4674;0;1889;
1119;202;17564;4759;0;1889;
1139;202;17880;4844;0;1889;
1159;253;18165;4929;0;1989;
1179;253;18481;5014;0;1989;
1199;253;18798;5099;0;1989;
1219;253;19114;5185;0;2088;
1239;253;19431;5270;0;2088;
1259;253;19747;5355;0;2188;
1279;253;20064;5440;0;2188;
1299;253;20380;5525;0;2188;
1319;253;20697;5610;0;2287;
1339;253;21013;5695;0;2287;
1359;253;21330;5781;0;2287;
1379;253;21646;5866;0;2387;
1399;303;21931;5951;0;2387;
1419;303;22247;6036;0;2387;
1439;303;22564;6121;0;2486;
1459;303;22880;6206;0;2486;
1479;303;23197;6291;0;2486;
1499;303;23513;6376;0;2586;
1519;303;23830;6462;0;2586;
1539;303;24146;6547;0;2586;
1559;303;24463;6632;0;2685;
1579;303;24779;6717;0;2685;
1599;303;25096;6802;0;2685;
1619;303;25412;6887;0;2784;
1639;354;25697;6972;0;2784;
1659;354;26013;7058;0;2784;
1679;354;26330;7143;0;2884;
1699;354;26646;7228;0;2884;
1719;354;26963;7313;0;2983;
1739;354;27279;7398;0;2983;
1759;354;27596;7483;0;2983;
1779;354;27912;7568;0;3083;
1799;354;28229;7654;0;3083;
1819;354;28545;7739;0;3083;
