sec;CPU;LPM;Deep;Tx;Rx
20;0;284;76;924;895;
40;0;601;161;1951;1889;
60;0;917;246;2978;2884;
80;0;1234;332;4005;3879;
92;0;1297;417;5134;4177;
102;0;1329;502;5750;4177;
112;0;1329;578;5750;4177;
122;50;1329;664;5750;4276;
132;50;1360;740;5750;4276;
142;50;1360;825;5750;4276;
152;50;1360;910;5750;4376;
162;50;1392;987;5750;4376;
172;50;1392;1072;5750;4376;
182;50;1392;1149;5750;4376;
192;50;1424;1234;5750;4475;
202;50;1424;1311;5750;4475;
212;50;1455;1396;5750;4475;
222;50;1455;1481;5750;4575;
232;50;1455;1558;5750;4575;
242;50;1487;1643;5750;4575;
252;50;1487;1719;5750;4674;
262;50;1487;1804;5750;4674;
272;101;1519;1881;5750;4674;
282;101;1519;1966;5750;4674;
292;101;1550;2051;5750;4774;
302;101;1550;2128;5750;4774;
312;101;1550;2213;5750;4774;
322;101;1582;2290;5750;4873;
332;101;1582;2375;5750;4873;
342;101;1582;2452;5750;4873;
352;101;1613;2537;5750;4873;
362;101;1613;2613;5750;4973;
372;101;1613;2698;5750;4973;
382;101;1645;2784;5750;4973;
392;101;1645;2860;5750;5072;
402;101;1677;2945;5750;5072;
412;101;1677;3022;5750;5072;
422;151;1677;3107;5750;5172;
432;151;1708;3184;5750;5172;
442;151;1708;3269;5750;5172;
452;151;1708;3354;5750;5172;
462;151;1740;3431;5750;5271;
472;151;1740;3516;5750;5271;
482;151;1740;3592;5750;5271;
492;151;1772;3678;5750;5370;
502;151;1772;3754;5750;5370;
512;151;1803;3839;5750;5370;
522;151;1803;3924;5750;5470;
532;151;1803;4001;5750;5470;
542;151;1835;4086;5750;5470;
552;151;1835;4163;5750;5470;
562;151;1835;4248;5750;5569;
572;151;1867;4325;5750;5569;
582;202;1867;4410;5750;5569;
592;202;1867;4495;5750;5669;
602;202;1898;4572;5750;5669;
612;202;1898;4657;5750;5669;
622;202;1930;4733;5750;5669;
632;202;1930;4818;5750;5768;
642;202;1930;4895;5750;5768;
652;202;1962;4980;5750;5768;
662;202;1962;5065;5750;5868;
672;202;1962;5142;5750;5868;
682;202;1993;5227;5750;5868;
692;202;1993;5304;5750;5967;
702;202;2025;5389;5750;5967;
712;202;2025;5465;5750;5967;
722;202;2025;5551;5750;5967;
732;253;2057;5627;5750;6067;
742;253;2057;5712;5750;6067;
752;253;2057;5798;5750;6067;
762;253;2088;5874;5750;6166;
772;253;2088;5959;5750;6166;
782;253;2088;6036;5750;6166;
792;253;2120;6121;5750;6166;
802;253;2120;6198;5750;6266;
812;253;2151;6283;5750;6266;
822;253;2151;6368;5750;6266;
832;253;2151;6445;5750;6365;
842;253;2183;6530;5750;6365;
852;253;2183;6606;5750;6365;
862;253;2183;6692;5750;6465;
872;253;2215;6768;5750;6465;
882;303;2215;6853;5750;6465;
892;303;2246;6938;5750;6465;
902;303;2246;7015;5750;6564;
912;303;2246;7100;5750;6564;
922;303;2278;7177;5750;6564;
932;303;2278;7262;5750;6663;
942;303;2278;7339;5750;6663;
952;303;2310;7424;5750;6663;
962;303;2310;7509;5750;6663;
972;303;2310;7585;5750;6763;
982;303;2341;7671;5750;6763;
992;303;2341;7747;5750;6763;
1002;303;2373;7832;5750;6862;
1012;303;2373;7909;5750;6862;
1022;303;2373;7994;5750;6862;
1032;354;2405;8079;5750;6962;
1042;354;2405;8156;5750;6962;
1052;354;2405;8241;5750;6962;
1062;354;2436;8318;5750;6962;
1072;354;2436;8403;5750;7061;
1082;354;2436;8479;5750;7061;
1092;354;2468;8565;5750;7061;
1102;354;2468;8641;5750;7161;
1112;354;2500;8726;5750;7161;
1122;354;2500;8811;5750;7161;
1132;354;2500;8888;5750;7161;
1142;354;2531;8973;5750;7260;
1152;354;2531;9050;5750;7260;
1162;354;2531;9135;5750;7260;
1172;354;2563;9212;5750;7360;
1182;405;2563;9297;5750;7360;
1192;405;2563;9382;5750;7360;
1202;405;2595;9459;5750;7459;
1212;405;2595;9544;5750;7459;
1222;405;2626;9620;5750;7459;
1232;405;2626;9705;5750;7459;
1242;405;2626;9782;5750;7559;
1252;405;2658;9867;5750;7559;
1262;405;2658;9952;5750;7559;
1272;405;2658;10029;5750;7658;
1282;405;2689;10114;5750;7658;
1292;405;2689;10191;5750;7658;
1302;405;2721;10276;5750;7658;
1312;405;2721;10353;5750;7758;
1322;405;2721;10438;5750;7758;
1332;455;2753;10514;5750;7758;
1342;455;2753;10599;5750;7857;
1352;455;2753;10685;5750;7857;
1362;455;2784;10761;5750;7857;
1372;455;2784;10846;5750;7956;
1382;455;2784;10923;5750;7956;
1392;455;2816;11008;5750;7956;
1402;455;2816;11085;5750;7956;
1412;455;2848;11170;5750;8056;
1422;455;2848;11255;5750;8056;
1432;455;2848;11332;5750;8056;
1442;455;2879;11417;5750;8155;
1452;455;2879;11493;5750;8155;
1462;455;2879;11579;5750;8155;
1472;455;2911;11655;5750;8155;
1482;506;2911;11740;5750;8255;
1492;506;2911;11825;5750;8255;
1502;506;2943;11902;5750;8255;
1512;506;2943;11987;5750;8354;
1522;506;2974;12064;5750;8354;
1532;506;2974;12149;5750;8354;
1542;506;2974;12226;5750;8454;
1552;506;3006;12311;5750;8454;
1562;506;3006;12396;5750;8454;
1572;506;3006;12473;5750;8454;
1582;506;3038;12558;5750;8553;
1592;506;3038;12634;5750;8553;
1602;506;3069;12719;5750;8553;
1612;506;3069;12796;5750;8653;
1622;506;3069;12881;5750;8653;
1632;557;3101;12958;5750;8653;
1642;557;3101;13043;5750;8653;
