sec;CPU;LPM;Deep;Tx;Rx
10;0;0;76;0;0
20;0;0;161;0;0
30;0;0;238;0;0
40;0;0;323;0;0
50;0;31;408;0;99
60;50;31;485;0;99
70;50;31;570;0;99
80;50;31;647;0;99
90;50;63;732;102;198
100;50;63;817;102;198
110;50;63;893;102;198
120;101;63;979;102;198
130;101;94;1055;102;298
140;101;94;1140;102;298
150;101;94;1226;102;298
160;101;94;1302;102;298
170;101;94;1387;102;298
180;151;126;1464;205;397
190;151;126;1549;205;397
200;151;126;1626;205;397
210;151;126;1711;205;397
220;151;158;1796;205;497
230;151;158;1873;205;497
240;202;158;1958;205;497
250;202;158;2034;205;497
260;202;189;2119;205;497
270;202;189;2205;308;596
280;202;189;2281;308;596
290;202;189;2366;308;596
300;253;189;2443;308;596
310;253;221;2528;308;696
320;253;221;2613;308;696
330;253;221;2690;308;696
340;253;221;2775;308;696
350;253;253;2852;308;696
360;303;253;2937;410;795
370;303;253;3022;410;795
380;303;253;3099;410;795
390;303;284;3184;410;795
400;303;284;3260;410;895
410;354;284;3346;410;895
420;354;284;3431;410;895
430;354;316;3507;410;895
440;354;316;3592;410;994
450;354;316;3669;513;994
460;354;316;3754;513;994
470;405;316;3839;513;994
480;405;348;3916;513;994
490;405;348;4001;513;1094
500;405;348;4078;513;1094
510;405;348;4163;513;1094
520;405;379;4248;513;1094
530;455;379;4325;513;1193
540;455;379;4410;616;1193
550;455;379;4486;616;1193
560;455;411;4572;616;1193
570;455;411;4657;616;1193
580;455;411;4733;616;1293
590;506;411;4818;616;1293
600;506;411;4895;616;1293
610;506;443;4980;616;1293
620;506;443;5065;718;1392
630;506;443;5142;718;1392
640;506;443;5227;718;1392
650;557;474;5304;718;1392
660;557;474;5389;718;1392
670;557;474;5474;718;1491
680;557;474;5551;718;1491
690;557;506;5636;718;1491
700;607;506;5712;718;1491
710;607;506;5798;821;1591
720;607;506;5883;821;1591
730;607;506;5959;821;1591
740;607;537;6044;821;1591
750;607;537;6121;821;1591
760;658;537;6206;821;1690
770;658;537;6283;821;1690
780;658;569;6368;821;1690
790;658;569;6453;821;1690
800;658;569;6530;924;1790
810;658;569;6615;924;1790
820;709;601;6700;924;1790
830;709;601;6777;924;1790
840;709;601;6862;924;1790
850;709;601;6938;924;1889
860;709;601;7024;924;1889
870;709;632;7100;924;1889
880;759;632;7185;924;1889
890;759;632;7270;1026;1989
900;759;632;7347;1026;1989
910;759;664;7432;1026;1989
920;759;664;7509;1026;1989
930;759;664;7594;1026;2088
940;810;664;7679;1026;2088
