sec;CPU;LPM;Deep;Tx;Rx
19;0;284;76;924;397;
39;0;601;161;1129;397;
59;0;917;246;1129;497;
79;0;1234;332;1129;596;
99;0;1550;417;1129;696;
119;0;1867;502;1129;795;
139;0;2183;587;1129;795;
159;0;2500;672;1129;895;
179;0;2816;757;1129;994;
199;50;3101;842;1129;1094;
219;50;3417;928;1129;1193;
239;50;3734;1013;1129;1293;
259;50;4050;1098;1129;1293;
279;50;4367;1183;1129;1392;
299;50;4683;1268;1129;1491;
319;50;5000;1353;1129;1591;
339;50;5316;1438;1129;1690;
359;50;5633;1524;1129;1690;
379;50;5949;1609;1129;1790;
399;101;6234;1694;1129;1889;
419;101;6550;1779;1129;1989;
439;101;6867;1864;1129;2088;
459;101;7183;1949;1129;2188;
479;101;7500;2034;1129;2188;
499;101;7816;2119;1129;2287;
519;101;8133;2205;1129;2387;
539;101;8449;2290;1129;2486;
559;101;8766;2375;1129;2586;
579;101;9082;2460;1129;2586;
599;101;9399;2545;1129;2685;
619;151;9683;2630;1129;2784;
639;151;10000;2715;1129;2884;
659;151;10316;2801;1129;2983;
679;151;10633;2886;1129;2983;
699;151;10949;2971;1129;3083;
719;151;11266;3056;1129;3182;
739;151;11582;3141;1129;3282;
759;151;11899;3226;1129;3381;
779;151;12215;3311;1129;3481;
799;151;12532;3397;1129;3481;
819;202;12817;3482;1129;3580;
839;202;13133;3567;1129;3680;
859;202;13449;3652;1129;3779;
879;202;13766;3737;1129;3879;
899;202;14082;3822;1129;3879;
919;202;14399;3907;1129;3978;
939;202;14715;3993;1129;4077;
959;202;15032;4078;1129;4177;
979;202;15348;4163;1129;4276;
999;202;15665;4248;1129;4276;
1019;253;15950;4333;1129;4376;
1039;253;16266;4418;1129;4475;
1059;253;16583;4503;1129;4575;
1079;253;16899;4589;1129;4674;
1099;253;17215;4674;1129;4774;
1119;253;17532;4759;1129;4774;
1139;253;17848;4844;1129;4873;
1159;253;18165;4929;1129;4973;
1179;253;18481;5014;1129;5072;
1199;253;18798;5099;1129;5172;
1219;303;19083;5185;1129;5172;
1239;303;19399;5270;1129;5271;
1259;303;19716;5355;1129;5370;
1279;303;20032;5440;1129;5470;
1299;303;20349;5525;1129;5569;
1319;303;20665;5610;1129;5569;
1339;303;20981;5695;1129;5669;
1359;303;21298;5781;1129;5768;
1379;303;21614;5866;1129;5868;
1399;303;21931;5951;1129;5967;
1419;303;22247;6036;1129;6067;
1439;354;22532;6121;1129;6067;
1459;354;22849;6206;1129;6166;
1479;354;23165;6291;1129;6266;
1499;354;23482;6376;1129;6365;
1519;354;23798;6462;1129;6465;
1539;354;24115;6547;1129;6465;
1559;354;24431;6632;1129;6564;
1579;354;24747;6717;1129;6663;
1599;354;25064;6802;1129;6763;
1619;354;25380;6887;1129;6862;
1639;405;25665;6972;1129;6962;
1659;405;25982;7058;1129;6962;
1679;405;26298;7143;1129;7061;
1699;405;26615;7228;1129;7161;
1719;405;26931;7313;1129;7260;
1739;405;27248;7398;1129;7360;
1759;405;27564;7483;1129;7360;
1779;405;27881;7568;1129;7459;
1800;405;28197;7662;1129;7559;
1819;405;28513;7739;1129;7658;
1839;455;28798;7824;1129;7758;
1860;455;29115;7918;1129;7758;
1879;455;29431;7994;1129;7857;
1899;455;29748;8079;1129;7956;
1919;455;30064;8164;1129;8056;
1939;455;30381;8250;1129;8155;
