sec;CPU;LPM;Deep;Tx;Rx
19;0;284;76;0;0;
39;0;601;161;0;99;
59;0;917;246;0;198;
79;0;1234;332;0;298;
99;0;1550;417;0;397;
119;0;1867;502;0;397;
139;0;2183;587;0;497;
159;0;2500;672;0;596;
179;0;2816;757;0;696;
199;0;3133;842;0;795;
219;0;3449;928;0;795;
239;50;3734;1013;0;895;
259;50;4050;1098;0;994;
279;50;4367;1183;0;1094;
299;50;4683;1268;0;1193;
319;50;5000;1353;0;1293;
339;50;5316;1438;0;1293;
359;50;5633;1524;0;1392;
379;50;5949;1609;0;1491;
399;50;6266;1694;0;1591;
419;50;6582;1779;0;1690;
439;50;6899;1864;0;1690;
459;50;7183;1949;0;1790;
479;101;7500;2034;0;1889;
499;101;7816;2119;0;1989;
519;101;8133;2205;0;2088;
539;101;8449;2290;0;2188;
559;101;8766;2375;0;2188;
579;101;9082;2460;0;2287;
599;101;9399;2545;0;2387;
619;101;9715;2630;0;2486;
639;101;10032;2715;0;2586;
659;101;10348;2801;0;2586;
679;101;10665;2886;0;2685;
699;151;10949;2971;0;2784;
719;151;11266;3056;0;2884;
739;151;11582;3141;0;2983;
759;151;11899;3226;0;2983;
779;151;12215;3311;0;3083;
799;151;12532;3397;0;3182;
819;151;12848;3482;0;3282;
839;151;13165;3567;0;3381;
859;151;13481;3652;0;3481;
879;151;13798;3737;0;3481;
899;151;14114;3822;0;3580;
919;151;14399;3907;0;3680;
939;202;14715;3993;0;3779;
959;202;15032;4078;0;3879;
979;202;15348;4163;0;3879;
999;202;15665;4248;0;3978;
1019;202;15981;4333;0;4077;
1039;202;16298;4418;0;4177;
1059;202;16614;4503;0;4276;
1079;202;16931;4589;0;4276;
1099;202;17247;4674;0;4376;
1119;202;17564;4759;0;4475;
1139;202;17880;4844;0;4575;
1159;253;18165;4929;0;4674;
1179;253;18481;5014;0;4774;
1199;253;18798;5099;0;4774;
1219;253;19114;5185;0;4873;
1239;253;19431;5270;0;4973;
1259;253;19747;5355;0;5072;
1279;253;20064;5440;0;5172;
1299;253;20380;5525;0;5172;
1319;253;20697;5610;0;5271;
1339;253;21013;5695;0;5370;
1359;253;21330;5781;0;5470;
1379;303;21614;5866;0;5569;
1399;303;21931;5951;0;5569;
1419;303;22247;6036;0;5669;
1439;303;22564;6121;0;5768;
1459;303;22880;6206;0;5868;
1479;303;23197;6291;0;5967;
1499;303;23513;6376;0;6067;
1519;303;23830;6462;0;6067;
1539;303;24146;6547;0;6166;
1559;303;24463;6632;0;6266;
1579;303;24779;6717;0;6365;
1599;303;25096;6802;0;6465;
1619;354;25380;6887;0;6465;
1639;354;25697;6972;0;6564;
1659;354;26013;7058;0;6663;
1679;354;26330;7143;0;6763;
1699;354;26646;7228;0;6862;
1719;354;26963;7313;0;6962;
1739;354;27279;7398;0;6962;
1759;354;27596;7483;0;7061;
1779;354;27912;7568;0;7161;
1799;354;28229;7654;0;7260;
1819;354;28545;7739;0;7360;
1839;405;28830;7824;0;7360;
1859;405;29146;7909;0;7459;
1879;405;29463;7994;0;7559;
1899;405;29779;8079;0;7658;
1919;405;30096;8164;0;7758;
1939;405;30412;8250;0;7758;
1959;405;30729;8335;0;7857;
1979;405;31045;8420;0;7956;
1999;405;31362;8505;0;8056;
2019;405;31678;8590;0;8155;
2039;405;31995;8675;0;8255;
2059;405;32311;8760;0;8255;
2079;455;32596;8846;0;8354;
